epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1563.84,0.86774,0.59245,1.16886,0.81255,0.82265,0.86201,0.70765,0.94257,0.69025,1.21981,5.14754e-05,4.99926e-05,4.99926e-05
2,3067,0.85764,0.59319,1.16382,0.8176,0.81913,0.86354,0.70856,0.9322,0.69052,1.21284,4.99661e-05,4.99661e-05,4.99661e-05
3,4588.92,0.85235,0.59028,1.16259,0.8253,0.82346,0.86179,0.70811,0.93663,0.68517,1.21285,4.98644e-05,4.98644e-05,4.98644e-05
4,6028.28,0.84736,0.59194,1.15902,0.83299,0.82534,0.862,0.70978,0.93598,0.69044,1.21569,4.96953e-05,4.96953e-05,4.96953e-05
5,7504.68,0.84583,0.59157,1.15894,0.8329,0.81738,0.86284,0.70977,0.92991,0.68159,1.21245,4.94592e-05,4.94592e-05,4.94592e-05
6,8938.08,0.84302,0.5909,1.15763,0.83089,0.8241,0.86137,0.70853,0.93247,0.68601,1.21185,4.91567e-05,4.91567e-05,4.91567e-05
7,1504.13,0.83734,0.58835,1.1535,0.82223,0.82947,0.85933,0.70925,0.93044,0.68581,1.21205,4.87886e-05,4.87886e-05,4.87886e-05
8,1449.39,0.83145,0.58375,1.15107,0.82641,0.81832,0.85941,0.7086,0.92672,0.6867,1.21085,4.83561e-05,4.83561e-05,4.83561e-05
9,2934.68,0.83739,0.58814,1.15383,0.8247,0.82308,0.8607,0.71065,0.91772,0.68561,1.20413,4.78603e-05,4.78603e-05,4.78603e-05
10,4397.1,0.83441,0.58566,1.15257,0.81905,0.81872,0.85842,0.71105,0.91633,0.68264,1.19968,4.73024e-05,4.73024e-05,4.73024e-05
11,5812.35,0.83055,0.58736,1.14929,0.82899,0.81401,0.85997,0.71201,0.91982,0.68515,1.20564,4.66841e-05,4.66841e-05,4.66841e-05
12,7221.95,0.83122,0.5854,1.15123,0.81982,0.82065,0.85972,0.71183,0.91446,0.68163,1.20554,4.60071e-05,4.60071e-05,4.60071e-05
13,8631.53,0.82943,0.58521,1.15052,0.81987,0.8183,0.86071,0.71213,0.9121,0.68661,1.20363,4.52732e-05,4.52732e-05,4.52732e-05
14,10040.9,0.82783,0.5802,1.14689,0.82499,0.80648,0.85834,0.71219,0.91196,0.68144,1.20117,4.44844e-05,4.44844e-05,4.44844e-05
15,11449.5,0.8308,0.58473,1.15018,0.8232,0.81624,0.85922,0.71204,0.91045,0.67953,1.20065,4.36428e-05,4.36428e-05,4.36428e-05
16,12859.2,0.82874,0.58048,1.14886,0.82021,0.81472,0.86004,0.71082,0.90969,0.68297,1.20221,4.27509e-05,4.27509e-05,4.27509e-05
17,14260.3,0.82835,0.58242,1.14836,0.82459,0.81901,0.86037,0.71292,0.91026,0.68148,1.19906,4.1811e-05,4.1811e-05,4.1811e-05
18,15683.3,0.8299,0.58346,1.15085,0.82109,0.81449,0.85981,0.71327,0.90953,0.6796,1.20028,4.08257e-05,4.08257e-05,4.08257e-05
19,1514.26,0.81874,0.57807,1.14416,0.82488,0.81032,0.85912,0.71203,0.90628,0.68137,1.20047,3.97977e-05,3.97977e-05,3.97977e-05
20,2959.37,0.82407,0.58061,1.14665,0.82877,0.80901,0.85897,0.71185,0.90924,0.67559,1.20129,3.87298e-05,3.87298e-05,3.87298e-05
21,4404.13,0.82313,0.57682,1.14754,0.82192,0.81427,0.85907,0.71383,0.90755,0.67705,1.1994,3.7625e-05,3.7625e-05,3.7625e-05
22,1545.45,0.81422,0.57368,1.14167,0.81976,0.81483,0.86026,0.71514,0.90624,0.67884,1.20007,3.64863e-05,3.64863e-05,3.64863e-05
23,3023.1,0.81934,0.57859,1.14458,0.81849,0.81433,0.85902,0.71384,0.90764,0.67683,1.20113,3.53167e-05,3.53167e-05,3.53167e-05
24,4762.85,0.81944,0.57444,1.14582,0.82002,0.8129,0.85974,0.71461,0.90686,0.67645,1.20003,3.41196e-05,3.41196e-05,3.41196e-05
25,6368.14,0.81906,0.57787,1.14465,0.81843,0.81341,0.85923,0.71448,0.90692,0.67826,1.19998,3.28982e-05,3.28982e-05,3.28982e-05
26,7921.08,0.81927,0.57857,1.14523,0.8177,0.81623,0.8589,0.71475,0.90342,0.68073,1.19873,3.16558e-05,3.16558e-05,3.16558e-05
